Smell pairs;support;confidence;Lift;Ch-square;Carmer v
Complex Class: Feature Envy;0.07272254;0.637026904;3.037301271;< 0.0001;0.3817502
Complex Class: MIM;0.074336283;0.651162791;1.553892821;< 0.0001;0.1688887
Complex Class: Message chain;0.087298282;0.764705882;3.997278912;< 0.0001;0.5240942
Feature Envy: Long Method;0.120041645;0.572350459;3.724543469;< 0.0001;0.6006025
Long Method: Feature Envy;0.120041645;0.781165312;3.724543469;< 0.0001;0.6006025
Long Parameter List: Feature Envy;0.134669443;0.579135885;2.761280804;< 0.0001;0.3744707
Feature Envy: Long Parameter List;0.134669443;0.642094813;2.761280804;< 0.0001;0.3744707
LIC: MIM;0.078032275;0.711775878;1.698535978;< 0.0001;0.208189
Long Method: Long Parameter List;0.121915669;0.793360434;3.411787314;< 0.0001;0.5683539
Long Method: MIM;0.091827173;0.597560976;1.425980912;< 0.0001;0.1541784
Long Parameter List: MIM;0.12644456;0.543765391;1.297606603;< 0.0001;0.1392816
Message chain: MIM;0.120197814;0.62829932;1.499332911;< 0.0001;0.2073751
MIM: NLMR;0.093701197;0.719137036;1.716102168;< 0.0001;0.2352489
MIM: SL;0.085736596;0.681141439;1.625431931;< 0.0001;0.2015808
